unit_index,selected,characters,event_count,A,E,I,O,U,original_record_or_text
1,0,372,15,0.633505846671,0.452426131061,0.146863441936,0.716893565119,-0.259343746033,"{""blur_score"":0.103293,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":0.0,""edge_density"":0.102531,""foreground_ratio"":0.041589,""frame_difference"":0.0,""frame_id"":0,""luma_std"":0.67873,""mean_hue"":0.234273,""mean_luma"":0.75116,""mean_saturation"":0.147907,""mean_value"":0.786491,""motion_energy"":0.0,""scene_cut_score"":0.307593,""texture_entropy"":0.573803,""timestamp_ms"":0}"
2,0,399,15,0.759700232888,0.366756893255,0.260997720779,0.342695117968,-0.472212991724,"{""blur_score"":0.102643,""change_center_x"":0.844027,""change_center_y"":0.106443,""color_shift"":0.004765,""edge_density"":0.102259,""foreground_ratio"":0.041238,""frame_difference"":0.002881,""frame_id"":1,""luma_std"":0.681427,""mean_hue"":0.238357,""mean_luma"":0.752992,""mean_saturation"":0.148278,""mean_value"":0.788438,""motion_energy"":0.00035,""scene_cut_score"":0.024754,""texture_entropy"":0.568271,""timestamp_ms"":50}"
3,0,386,15,0.673384515633,0.394718014417,0.206020051326,0.503594608622,-0.293549725965,"{""blur_score"":0.103396,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":0.000171,""edge_density"":0.102259,""foreground_ratio"":0.041238,""frame_difference"":0.000166,""frame_id"":2,""luma_std"":0.681121,""mean_hue"":0.238274,""mean_luma"":0.753085,""mean_saturation"":0.148277,""mean_value"":0.788507,""motion_energy"":0.0,""scene_cut_score"":0.001174,""texture_entropy"":0.567611,""timestamp_ms"":100}"
4,0,386,15,0.673489884201,0.394948510628,0.206296167654,0.503800188953,-0.2938172501,"{""blur_score"":0.102685,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":0.000124,""edge_density"":0.102375,""foreground_ratio"":0.041238,""frame_difference"":0.000135,""frame_id"":3,""luma_std"":0.681404,""mean_hue"":0.238397,""mean_luma"":0.752971,""mean_saturation"":0.148313,""mean_value"":0.788406,""motion_energy"":0.0,""scene_cut_score"":0.001276,""texture_entropy"":0.567234,""timestamp_ms"":150}"
5,0,398,15,0.766212503505,0.362315783118,0.267921900657,0.323600971852,-0.473618452655,"{""blur_score"":0.103134,""change_center_x"":0.84507,""change_center_y"":0.106092,""color_shift"":0.000132,""edge_density"":0.102336,""foreground_ratio"":0.041238,""frame_difference"":0.000174,""frame_id"":4,""luma_std"":0.681067,""mean_hue"":0.238309,""mean_luma"":0.753114,""mean_saturation"":0.148256,""mean_value"":0.78854,""motion_energy"":0.000312,""scene_cut_score"":0.001252,""texture_entropy"":0.56754,""timestamp_ms"":200}"
6,0,399,15,0.638735704125,0.324142318235,0.000976707650158,0.680190527895,-0.062029715914,"{""blur_score"":0.102786,""change_center_x"":0.023474,""change_center_y"":0.97479,""color_shift"":0.000263,""edge_density"":0.102259,""foreground_ratio"":0.041238,""frame_difference"":0.000184,""frame_id"":5,""luma_std"":0.681285,""mean_hue"":0.238171,""mean_luma"":0.753007,""mean_saturation"":0.148283,""mean_value"":0.788472,""motion_energy"":3.9e-05,""scene_cut_score"":0.001679,""texture_entropy"":0.568268,""timestamp_ms"":250}"
7,0,400,15,0.766813170762,0.362156137918,0.267914844708,0.323040371813,-0.474448807287,"{""blur_score"":0.10309,""change_center_x"":0.845853,""change_center_y"":0.105042,""color_shift"":0.000135,""edge_density"":0.102298,""foreground_ratio"":0.041394,""frame_difference"":0.000171,""frame_id"":6,""luma_std"":0.681122,""mean_hue"":0.238182,""mean_luma"":0.753107,""mean_saturation"":0.148328,""mean_value"":0.788572,""motion_energy"":0.000234,""scene_cut_score"":0.001243,""texture_entropy"":0.568177,""timestamp_ms"":300}"
8,0,381,15,0.673882369148,0.394852463857,0.206396151064,0.503587823613,-0.294132493298,"{""blur_score"":0.102621,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":8e-05,""edge_density"":0.102259,""foreground_ratio"":0.041394,""frame_difference"":0.000122,""frame_id"":7,""luma_std"":0.681317,""mean_hue"":0.238165,""mean_luma"":0.753001,""mean_saturation"":0.14834,""mean_value"":0.788468,""motion_energy"":0.0,""scene_cut_score"":0.000889,""texture_entropy"":0.56802,""timestamp_ms"":350}"
9,0,398,15,0.766708837831,0.361884025883,0.267371759865,0.323292803215,-0.473948331706,"{""blur_score"":0.103259,""change_center_x"":0.844027,""change_center_y"":0.104575,""color_shift"":0.00021,""edge_density"":0.102336,""foreground_ratio"":0.041199,""frame_difference"":0.00022,""frame_id"":8,""luma_std"":0.681059,""mean_hue"":0.238261,""mean_luma"":0.753112,""mean_saturation"":0.148368,""mean_value"":0.788577,""motion_energy"":0.00035,""scene_cut_score"":0.001752,""texture_entropy"":0.567686,""timestamp_ms"":400}"
10,0,399,15,0.76526021546,0.362756807288,0.26702200745,0.326864911313,-0.473487965235,"{""blur_score"":0.102638,""change_center_x"":0.844027,""change_center_y"":0.106443,""color_shift"":0.000996,""edge_density"":0.10257,""foreground_ratio"":0.041199,""frame_difference"":0.000352,""frame_id"":9,""luma_std"":0.681175,""mean_hue"":0.238092,""mean_luma"":0.753098,""mean_saturation"":0.148125,""mean_value"":0.788751,""motion_energy"":0.00035,""scene_cut_score"":0.004453,""texture_entropy"":0.568728,""timestamp_ms"":450}"
